Opponent,Scored_sum,Missed_sum,Number_of_wins,Number_of_defeats,Number_of_draws,Wins_Percentage(%)
 FC Carl Zeiss Jena ,3.0,2.0,1.0,0.0,1.0,50.0
 FC København ,6.0,0.0,2.0,0.0,0.0,100.0
 FC Lugano ,6.0,1.0,2.0,0.0,0.0,100.0
 FC Politechnica Timisoara ,5.0,1.0,1.0,0.0,1.0,50.0
 FC Porto ,23.0,10.0,9.0,2.0,1.0,75.0
 FC Schalke 04 ,14.0,6.0,3.0,1.0,0.0,75.0
 FC Tirol ,11.0,3.0,1.0,0.0,1.0,50.0
 FC Tirol Innsbruck ,4.0,1.0,1.0,0.0,1.0,50.0
 FC Utrecht ,4.0,1.0,2.0,0.0,0.0,100.0
 FC Wacker Innsbruck ,2.0,1.0,1.0,1.0,0.0,50.0
 FC Zürich ,14.0,3.0,4.0,0.0,0.0,100.0
 FKS Stal Mielec ,3.0,1.0,2.0,0.0,0.0,100.0
 Feijenoord ,6.0,2.0,1.0,1.0,0.0,50.0
 Ferencvárosi TC ,7.0,2.0,1.0,0.0,1.0,50.0
 Feyenoord ,3.0,1.0,1.0,0.0,0.0,100.0
 Fram Reykjavík ,8.0,0.0,2.0,0.0,0.0,100.0
 Frankfurter SG Eintracht ,7.0,3.0,1.0,0.0,0.0,100.0
 Galatasaray ,21.0,10.0,4.0,3.0,0.0,57.142857142857146
 Getafe CF ,67.0,27.0,20.0,5.0,3.0,71.42857142857143
 Gimnàstic ,27.0,15.0,6.0,2.0,2.0,60.0
 Girona FC ,19.0,11.0,4.0,2.0,0.0,66.66666666666667
 Granada CF ,116.0,43.0,32.0,6.0,8.0,69.56521739130434
 Grasshopper Club Zürich ,7.0,3.0,3.0,1.0,0.0,75.0
 Grêmio Porto Alegre ,1.0,0.0,1.0,0.0,0.0,100.0
 Górnik Zabrze ,4.0,2.0,2.0,0.0,0.0,100.0
 HNK Rijeka ,4.0,3.0,1.0,1.0,0.0,50.0
 Hamburger SV ,3.0,5.0,1.0,1.0,0.0,50.0
 Hibernians FC ,5.0,0.0,1.0,0.0,1.0,50.0
 Hvidovre IF ,6.0,3.0,1.0,0.0,1.0,50.0
 Hércules CF ,96.0,26.0,33.0,2.0,5.0,82.5
 Inter ,20.0,19.0,6.0,7.0,2.0,40.0
 Ipswich Town ,0.0,1.0,0.0,1.0,1.0,0.0
 Jeunesse Esch ,12.0,2.0,2.0,0.0,0.0,100.0
 Juventus ,32.0,26.0,12.0,8.0,2.0,54.54545454545455
 KRC Genk ,7.0,1.0,1.0,0.0,1.0,50.0
 Kashima Antlers ,7.0,3.0,2.0,0.0,0.0,100.0
 Kilmarnock FC ,7.0,3.0,1.0,0.0,1.0,50.0
 Lazio Roma ,10.0,7.0,2.0,0.0,2.0,50.0
 Leeds United ,5.0,2.0,2.0,0.0,0.0,100.0
 Legia Warszawa ,8.0,4.0,1.0,0.0,1.0,50.0
 Levante UD ,73.0,21.0,21.0,4.0,3.0,75.0
 Levski Sofia ,3.0,0.0,2.0,0.0,0.0,100.0
 Limerick United ,7.0,2.0,2.0,0.0,0.0,100.0
 Liverpool FC ,7.0,7.0,3.0,3.0,0.0,50.0
 Lokomotiv Moskva ,7.0,4.0,2.0,1.0,1.0,50.0
 Malmö FF ,10.0,0.0,2.0,0.0,0.0,100.0
 Manchester City ,6.0,7.0,2.0,1.0,2.0,40.0
 Manchester United ,24.0,21.0,5.0,4.0,4.0,38.46153846153846
 Molde FK ,5.0,1.0,2.0,0.0,0.0,100.0
 Moss FK ,4.0,0.0,2.0,0.0,0.0,100.0
 Málaga CF ,85.0,35.0,27.0,1.0,8.0,75.0
 Neuchâtel Xamax FC ,7.0,3.0,2.0,2.0,0.0,50.0
 OGC Nice ,12.0,5.0,3.0,1.0,0.0,75.0
 Odense BK ,13.0,5.0,3.0,1.0,0.0,75.0
 Olympiakos Nikosia ,14.0,1.0,2.0,0.0,0.0,100.0
 Olympiakos Piräus ,18.0,9.0,4.0,1.0,3.0,50.0
 Olympique Lyon ,14.0,11.0,3.0,3.0,4.0,30.0
 Olympique Marseille ,12.0,4.0,4.0,0.0,0.0,100.0
 Olímpic Xàtiva ,2.0,0.0,1.0,0.0,1.0,50.0
 PFC Ludogorets Razgrad ,6.0,1.0,2.0,0.0,0.0,100.0
 PSV Eindhoven ,9.0,7.0,3.0,1.0,4.0,37.5
 Panathinaikos ,5.0,2.0,1.0,0.0,1.0,50.0
 Paris Saint-Germain ,11.0,9.0,4.0,2.0,2.0,50.0
 Partizan ,7.0,4.0,3.0,1.0,1.0,60.0
 Peñarol ,5.0,5.0,1.0,2.0,1.0,25.0
 Pontevedra CF ,18.0,10.0,8.0,2.0,2.0,66.66666666666667
 Progrès Niedercorn ,12.0,0.0,2.0,0.0,0.0,100.0
 RCD Mallorca ,129.0,64.0,38.0,14.0,12.0,59.375
 RSC Anderlecht ,23.0,15.0,5.0,4.0,1.0,50.0
 Racing Santander ,193.0,102.0,52.0,20.0,18.0,57.77777777777778
 Raja Casablanca ,3.0,2.0,1.0,0.0,0.0,100.0
 Rangers FC ,7.0,0.0,2.0,0.0,0.0,100.0
 Rapid Wien ,10.0,7.0,4.0,2.0,1.0,57.142857142857146
 Rayo Vallecano ,106.0,38.0,29.0,6.0,3.0,76.3157894736842
 Real Betis ,238.0,116.0,62.0,25.0,23.0,56.36363636363637
 Real Burgos ,15.0,6.0,5.0,3.0,0.0,62.5
 Real Jaén ,24.0,4.0,6.0,0.0,0.0,100.0
 Real Murcia ,97.0,31.0,27.0,3.0,8.0,71.05263157894737
 Real Oviedo ,165.0,79.0,49.0,14.0,16.0,62.0253164556962
 Real Sociedad ,305.0,191.0,77.0,31.0,38.0,52.73972602739726
 Real Unión ,22.0,17.0,5.0,3.0,4.0,41.666666666666664
 Real Valladolid ,192.0,97.0,59.0,15.0,19.0,63.44086021505376
 Real Vigo Sporting ,2.0,1.0,1.0,0.0,0.0,100.0
 Real Zaragoza ,292.0,161.0,84.0,24.0,25.0,63.1578947368421
 Recreativo Huelva ,26.0,13.0,9.0,2.0,1.0,75.0
 Rosenborg BK ,14.0,5.0,5.0,1.0,0.0,83.33333333333333
 Royal Antwerp FC ,8.0,1.0,2.0,0.0,0.0,100.0
 SD Compostela ,14.0,10.0,4.0,0.0,4.0,50.0
 SD Eibar ,28.0,8.0,9.0,1.0,2.0,75.0
 SD Huesca ,4.0,2.0,2.0,0.0,0.0,100.0
 SD Ponferradina ,7.0,1.0,2.0,0.0,0.0,100.0
 SL Benfica ,6.0,11.0,1.0,2.0,0.0,33.333333333333336
 SSC Napoli ,9.0,3.0,3.0,0.0,1.0,75.0
 SSW Innsbruck ,5.0,2.0,1.0,1.0,0.0,50.0
 San Lorenzo ,2.0,0.0,1.0,0.0,0.0,100.0
 Servette Genève ,7.0,0.0,2.0,0.0,0.0,100.0
 Sestao SC ,3.0,0.0,1.0,0.0,1.0,50.0
 Sevilla FC ,361.0,227.0,90.0,48.0,28.0,54.21686746987952
 Shakhtar Donetsk ,8.0,3.0,2.0,0.0,0.0,100.0
 Sigma Olomouc ,2.0,1.0,1.0,0.0,1.0,50.0
 Slovan Bratislava ,3.0,2.0,1.0,0.0,1.0,50.0
 Sparta Praha ,6.0,2.0,2.0,0.0,0.0,100.0
 Spartak Moskva ,7.0,7.0,3.0,3.0,2.0,37.5
 Spora Luxemburg ,9.0,0.0,2.0,0.0,0.0,100.0
 Sporting CP ,12.0,6.0,4.0,1.0,1.0,66.66666666666667
 Sporting Gijón ,190.0,91.0,55.0,15.0,25.0,57.89473684210526
 Stade Reims ,6.0,3.0,2.0,0.0,0.0,100.0
 Standard Liège ,8.0,4.0,2.0,2.0,0.0,50.0
 Steaua Bucureşti ,5.0,1.0,2.0,0.0,0.0,100.0
 Sturm Graz ,11.0,2.0,2.0,0.0,0.0,100.0
 TJ Sparta CKD Praha ,7.0,6.0,1.0,2.0,1.0,25.0
 TSV 1860 München ,3.0,2.0,1.0,1.0,0.0,50.0
 Tatabanya Banyasz SC ,2.0,2.0,1.0,1.0,0.0,50.0
 Terrassa CF ,7.0,5.0,1.0,0.0,1.0,50.0
 Torino FC ,2.0,3.0,1.0,1.0,0.0,50.0
 Torpedo Moskva ,7.0,5.0,1.0,1.0,0.0,50.0
 Tottenham Hotspur ,8.0,4.0,3.0,1.0,2.0,50.0
 UD Almería ,38.0,10.0,9.0,1.0,2.0,75.0
 UD Lanzarote ,3.0,1.0,1.0,0.0,0.0,100.0
 UD Las Palmas ,178.0,62.0,46.0,7.0,15.0,67.6470588235294
 UD Melilla ,10.0,1.0,2.0,0.0,0.0,100.0
 UD Pájara Playas ,4.0,0.0,1.0,0.0,0.0,100.0
 UD SS Reyes ,11.0,1.0,2.0,0.0,0.0,100.0
 UD Salamanca ,39.0,9.0,17.0,2.0,7.0,65.38461538461539
 UE Cornellà ,9.0,1.0,2.0,0.0,0.0,100.0
 UE Lleida ,19.0,3.0,3.0,1.0,0.0,75.0
 Valencia CF ,346.0,233.0,98.0,50.0,38.0,52.68817204301075
 Vasco da Gama ,2.0,1.0,1.0,0.0,0.0,100.0
 VfL Wolfsburg ,3.0,2.0,1.0,1.0,0.0,50.0
 Videoton SC ,3.0,1.0,1.0,1.0,0.0,50.0
 Viktoria Plzeň ,7.0,1.0,2.0,0.0,0.0,100.0
 Villarreal CF ,84.0,38.0,24.0,4.0,12.0,60.0
 Vitesse ,2.0,0.0,2.0,0.0,0.0,100.0
 Werder Bremen ,4.0,4.0,1.0,1.0,0.0,50.0
 Wiener Sport-Club ,7.0,1.0,1.0,0.0,1.0,50.0
 Wisła Kraków ,5.0,1.0,2.0,0.0,0.0,100.0
 Xerez CD ,8.0,0.0,2.0,0.0,0.0,100.0
 Zenit St. Petersburg ,5.0,1.0,2.0,0.0,0.0,100.0
 Écija Balompié ,6.0,2.0,1.0,0.0,1.0,50.0
 ÍB Keflavík ,4.0,0.0,2.0,0.0,0.0,100.0
 Újpesti Dózsa SC ,4.0,1.0,2.0,0.0,0.0,100.0
