Opponent,Scored,Missed
 Villarreal CF ,84,38
 Vitesse ,2,0
 Werder Bremen ,4,4
 Wiener Sport-Club ,7,1
 Wisła Kraków ,5,1
 Xerez CD ,8,0
 Zenit St. Petersburg ,5,1
 Écija Balompié ,6,2
 ÍB Keflavík ,4,0
 Újpesti Dózsa SC ,4,1
